Date,Open,High,Low,Close,Adj Close,Volume
2025-04-10,189.07,194.78,183.00,190.42,189.96,"121,880,000"
2025-04-09,171.95,200.61,171.89,198.85,198.36,"184,395,900"
2025-04-08,186.70,190.34,169.21,172.42,172.00,"120,859,500"
2025-04-07,177.20,194.15,174.62,181.46,181.02,"160,466,300"
2025-04-04,193.89,199.88,187.34,188.38,187.92,"125,910,900"
2025-04-03,205.54,207.49,201.25,203.19,202.69,"103,419,000"
2025-04-02,221.32,225.19,221.02,223.89,223.34,"35,905,900"
2025-04-01,219.81,223.68,218.90,223.19,222.65,"36,412,700"
2025-03-31,217.01,225.62,216.23,222.13,221.59,"65,299,300"
2025-03-28,221.67,223.81,217.68,217.90,217.37,"39,818,600"
2025-03-27,221.39,224.99,220.56,223.85,223.30,"37,094,800"
2025-03-26,223.51,225.02,220.47,221.53,220.99,"34,466,100"
2025-03-25,220.77,224.10,220.08,223.75,223.20,"34,493,600"
2025-03-24,221.00,221.48,218.58,220.73,220.19,"44,299,500"
2025-03-21,211.56,218.84,211.28,218.27,217.74,"94,127,800"
2025-03-20,213.99,217.49,212.22,214.10,213.58,"48,862,900"
2025-03-19,214.22,218.76,213.75,215.24,214.71,"54,385,400"
2025-03-18,214.16,215.15,211.49,212.69,212.17,"42,432,400"
2025-03-17,213.31,215.22,209.97,214.00,213.48,"48,073,400"
2025-03-14,211.25,213.95,209.58,213.49,212.97,"60,107,600"
2025-03-13,215.95,216.84,208.42,209.68,209.17,"61,368,300"
2025-03-12,220.14,221.75,214.91,216.98,216.45,"62,547,500"
2025-03-11,223.81,225.84,217.45,220.84,220.30,"76,137,400"
2025-03-10,235.54,236.16,224.22,227.48,226.92,"72,071,200"
2025-03-07,235.11,241.37,234.76,239.07,238.49,"46,273,600"
2025-03-06,234.44,237.86,233.16,235.33,234.76,"45,170,400"
2025-03-05,235.42,236.55,229.23,235.74,235.16,"47,227,600"
2025-03-04,237.71,240.07,234.68,235.93,235.35,"53,798,100"
2025-03-03,241.79,244.03,236.11,238.03,237.45,"47,184,000"
2025-02-28,236.95,242.09,230.20,241.84,241.25,"56,833,400"
2025-02-27,239.41,242.46,237.06,237.30,236.72,"41,153,600"
2025-02-26,244.33,244.98,239.13,240.36,239.77,"44,433,600"
2025-02-25,248.00,250.00,244.91,247.04,246.44,"48,013,300"
2025-02-24,244.93,248.86,244.42,247.10,246.50,"51,326,400"
2025-02-21,245.95,248.69,245.22,245.55,244.95,"53,197,400"
2025-02-20,244.94,246.78,244.29,245.83,245.23,"32,316,900"
2025-02-19,244.66,246.01,243.16,244.87,244.27,"32,204,200"
2025-02-18,244.15,245.18,241.84,244.47,243.87,"48,822,500"
2025-02-14,241.25,245.55,240.99,244.60,244.00,"40,896,200"
2025-02-13,236.91,242.34,235.57,241.53,240.94,"53,614,100"
2025-02-12,231.20,236.96,230.68,236.87,236.29,"45,243,300"
2025-02-11,228.20,235.23,228.13,232.62,232.05,"53,718,400"
2025-02-10,0.25 Dividend,,,,,
2025-02-10,229.57,230.59,227.20,227.65,227.09,"33,115,600"
2025-02-07,232.60,234.00,227.26,227.63,226.82,"39,707,200"
2025-02-06,231.29,233.80,230.43,233.22,232.40,"29,925,300"
2025-02-05,228.53,232.67,228.27,232.47,231.65,"39,620,300"
2025-02-04,227.25,233.13,226.65,232.80,231.98,"45,067,300"
2025-02-03,229.99,231.83,225.70,228.01,227.20,"73,063,300"
2025-01-31,247.19,247.19,233.44,236.00,235.17,"100,959,800"
2025-01-30,238.67,240.79,237.21,237.59,236.75,"55,658,300"
2025-01-29,234.12,239.86,234.01,239.36,238.51,"45,486,100"
2025-01-28,230.85,240.19,230.81,238.26,237.42,"75,707,600"
2025-01-27,224.02,232.15,223.98,229.86,229.05,"94,863,400"
2025-01-24,224.78,225.63,221.41,222.78,221.99,"54,697,900"
2025-01-23,224.74,227.03,222.30,223.66,222.87,"60,234,800"
2025-01-22,219.79,224.12,219.79,223.83,223.04,"64,126,500"
2025-01-21,224.00,224.42,219.38,222.64,221.85,"98,070,400"
2025-01-17,232.12,232.29,228.48,229.98,229.17,"68,488,300"
2025-01-16,237.35,238.01,228.03,228.26,227.45,"71,759,100"
2025-01-15,234.64,238.96,234.43,237.87,237.03,"39,832,000"
2025-01-14,234.75,236.12,232.47,233.28,232.45,"39,435,300"
2025-01-13,233.53,234.67,229.72,234.40,233.57,"49,630,700"
2025-01-10,240.01,240.16,233.00,236.85,236.01,"61,710,900"
2025-01-08,241.92,243.71,240.05,242.70,241.84,"37,628,900"
2025-01-07,242.98,245.55,241.35,242.21,241.35,"40,856,000"
2025-01-06,244.31,247.33,243.20,245.00,244.13,"45,045,600"
2025-01-03,243.36,244.18,241.89,243.36,242.50,"40,244,100"
2025-01-02,248.93,249.10,241.82,243.85,242.99,"55,740,700"
2024-12-31,252.44,253.28,249.43,250.42,249.53,"39,480,700"
2024-12-30,252.23,253.50,250.75,252.20,251.31,"35,557,500"
2024-12-27,257.83,258.70,253.06,255.59,254.69,"42,355,300"
2024-12-26,258.19,260.10,257.63,259.02,258.10,"27,237,100"
2024-12-24,255.49,258.21,255.29,258.20,257.29,"23,234,700"
2024-12-23,254.77,255.65,253.45,255.27,254.37,"40,858,800"
